linux commands:

Commands 	Description
access 		Used to check whether the calling program has access to a specified file. It can be used to check whether a file exists or not
accton 		Used to turn on or turn off the process for accounting or change info process accounting file
aclocal 	Used to automatically generate aclocal.m4 files from configure.in file
acpi 	 	Used to display the battery status and other ACPI information
acpi_available 	Tests whether ACPI (Advanced Configuration and Power Interface) subsystem is available or not
acpid 		It provides intelligent power management on a system and is used to notify the user-space programs about the ACPI events
addr2line 	Used to convert addresses into file names and line numbers
agetty 		It is a Linux version of getty, which is a Unix program running on a host computer that manages physical or virtual terminals to allow multi-user access
alias 		Instructs the shell to replace one string with another string while executing the commands
amixer 		It is a command-line mixer for ALSA(Advanced Linux Sound Architecture) sound-card driver
aplaymidi 	Used to play standard MIDI(Musical Instrument Digital Interface) files, by sending the content of a MIDI file to an ALSA(Advanced Linux Sound Architecture) MIDI port
apropos 	It helps the user when they don’t remember the exact command but knows a few keywords related to the command that define its uses or functionality
apt 	Provides a high-level CLI (Command Line Interface) for the package management system and is intended as an interface for the end user which enables some options better suited for interactive usage by default compared to more specialized APT tools like apt-cache and apt-get
apt-get 	It is a command-line tool which helps in handling packages in Linux
aptitude 	Opens up a highly built-in interface to interact with the package manager of the machine
ar 	Used to create, modify and extract the files from the archives
arch 	Used to print the computer architecture
arp 	It manipulates the System’s ARP cache. It also allows a complete dump of the ARP cache
aspell 	Used as a spell checker in Linux
atd 	It is a job scheduler daemon that runs jobs scheduled for later execution
atrm 	Used to remove the specified jobs. To remove a job, its job number is passed in the command
atq 	It displays the list of pending jobs which are scheduled by the user
autoconf 	Used in Linux to generate configuration scripts
autoheader 	Used to create a template file of C “#define” or any other template header for configure to use
automake 	Used for automatically generating Makefile.in files compliant with the set GNU Coding Standards
autoreconf 	Used to create automatically buildable source code for Unix-like systems
autoupdate 	Used to update configure.in file in our Linux system to a newer Autoconf.
awk 	It is a scripting language used for manipulating data and generating reports
banner 	Used to print the ASCII character string in large letter to standrad output
basename 	It strips directory information and suffixes from file names i.e. it prints the file name NAME with any leading directory components removed
batch 	Used to read commands from standard input or a specified file and execute them when system load levels permit i.e. when the load average drops below 1.5
bc 	Used for command line calculator
bg 	Used to place foreground jobs in background
biff 	A mail notification system for unix that notifies the user at the command line when new mail arrives and tells from whom it is
bind 	Used to set Readline key bindings and variables
bison 	It is basically a parser generator similar to yacc
break 	Used to terminate the execution of for loop, while loop and until loop
builtin 	Used to run a shell builtin, passing it arguments(args), and also to get the exit status
bzcmp 	Used to invoke the cmp utility on bzip2 compressed files
bzdiff 	Used to compare the bzip2 compressed files
bzgrep 	Used to search for a pattern or an expression but inside a bzip2-compressed file
bzip2 	Used to compress and decompress the files
bzless 	It does not have to read the entire input file before starting, so with a large file, it starts up faster
bzmore 	Used as a filter for CRT viewing of bzip2 compressed files, which are saved with .bz2 suffix
cal 	Used to see the calendar of a specific month or a whole year. By default, it shows current month’s calendar as output
case 	It is the best alternative when we had to use multiple if/elif on a single variable
cat 	Reads data from file and gives their content as output. It helps us to create, view, concatenate files
cc 	It is used to compile the C language codes and create executables
ccrypt 	It is a command line tool for encryption and decryption of data
cd 	Known as change directory command. It is used to change current working directory
